 Score: %d of %d%13s%s%1s	 分數：%d / %d%13s%s%1s
Memory fragmented.	記憶體零碎化。
OK.	好的。
This isn't a text adventure!	這又不是文字冒險遊戲！
OK, you wear the belt.	好，你繫上腰帶。
You're already wearing it.	你已經穿戴著了。
First, you need to wear it.	你得先穿戴上才行。
The belt is now completely out of power.	腰帶的電力已經完全耗盡。
Looking at the belt, you notice that the power supply is very low. You decide to hold off until you really need it.	你看了看腰帶，發現電力所剩無幾。你決定先留著，等真的需要時再用。
You're already wearing them.	你已經穿戴著了。
Not a good idea, considering your location.	以你現在所處的位置來說，這可不是個好主意。
You decide to leave the ring in the relative safety of your pocket.	你決定把戒指留在口袋裡，那裡相對安全。
I'll get naked if you get naked. You go first.	你脫我就脫，你先來。
On second thought, it looks pretty silly.  Let's not.	仔細一想，這樣看起來蠻蠢的，還是算了。
It's on the end of your pole.	它就在你的竿子頂端。
Look out, it's low on power.	小心，電力不足了。
The terminator's invisibility belt is now completely out of power.	魔鬼終結者的隱形腰帶電力已經完全耗盡。
You don't have one of those.	你沒有那種東西。
Forget it. Think of something else.	算了吧，想點別的辦法。
That doesn't seem to be available.	那個好像用不了。
You already have it.	你已經擁有它了。
You smell nothing of note.	你沒聞到什麼特別的味道。
Keep it to yourself.	你自己心裡有數就好。
You can't	你沒辦法
Not now.	現在還不行。
Sorry. We don't do running.	抱歉，這遊戲不能用跑的。
Hey, trashmouth! Don't be saying that shit!	嘿，嘴巴放乾淨點！別滿口髒話！
Hey! What kind of talk is that?	嘿！你這是什麼話！
Try another word. Apparently, "%s" isn't in the Andromedan dictionary.	換個詞試試看，看樣子「%s」不在仙女座字典裡。
Do me a favor and try rephrasing that thought.	幫個忙，換句話說說看。
Pardon me. This program is too stupid to glean your desire from such a wonderfully crafted sentence. Please try something else.	不好意思，這程式太笨了，看不懂你這句精心雕琢的句子想表達什麼，麻煩換句話說。
You possess %d of these nifty monetary units known as `Buckazoids'.	你身上有 %d 枚這種俗稱『太空幣』的好用貨幣單位。
It's not quite within reach.	它就是搆不著。
You've accomplished that task.	這件事你已經做過了。
You see nothing special.	你沒看到什麼特別的東西。
That's not possible now.	現在還辦不到。
You don't have it.	你沒有。
The pod, considered to be nothing more than another piece of scrap, is taken aboard a robot commanded garbage freighter. Unfortunately these robots have no regard for organics.	這艘逃生艙被當成廢鐵的一部分，被機器人操控的垃圾貨輪給撿了上去。可惜這些機器人完全不懂得憐香惜玉，對有機生物毫不留情。
Check again! It IS closed.	再檢查一次！它「就是」關著的！
This task is impossible since the door is sealed from the inside and there is no light emanating from within.	這件事辦不到，門從裡面被封死了，裡頭連一點光都透不出來。
The window is clear enough to reveal the blackness inside.	窗戶夠透明，能看清裡頭一片漆黑。
The solidly built door looks to be locked in place.	這扇厚實的門看起來被鎖死了。
The pod's thrusters are very small, designed for minimal attitude adjustments. They have been cold for a long time.	逃生艙的推進器很小，只用來做些微姿態調整，而且早就冷掉很久了。
This is the escape pod which safely whisked you away from Vohaul's burning asteroid fortress. The skin of the pod plainly registers the cumulative damage long periods of space travel can inflict on a small craft such as this.	這是當初帶你安全逃離沃霍爾燃燒中的小行星要塞的逃生艙。艙體表面清楚寫著長途太空旅行對這種小型艙體所累積造成的傷害。
You are standing in a debris-cluttered junk bay. An escape pod rests in the middle of the room. There are chunks of metal lying around which seem to be small sections of old spaceware.	你站在一個堆滿殘骸的廢料艙裡。一艘逃生艙停在房間正中央，四周散落著幾塊金屬碎片，看起來是老舊太空船的零件。
The room bears a very metallic fragrance.	這房間散發出一股濃濃的金屬味。
The door was automatically sealed when the pod shut down shortly after your exit. It has served its purpose and will be of no further use.	你離開後不久逃生艙就關閉了，艙門也跟著自動封死。它已經完成任務，不會再有用處了。
